fecha,concepto,categoria,importe
2026-07-01,Alquiler julio,vivienda,650.00
2026-07-02,Compra semanal,comida,63.47
2026-07-03,Abono transporte,transporte,21.35
2026-07-04,Cafe con Marta,ocio,3.10
2026-07-05,Farmacia,salud,12.85
2026-07-07,Compra semanal,comida,58.20
2026-07-08,Cine,ocio,9.50
2026-07-09,Luz,vivienda,74.33
2026-07-11,Gasolina,transporte,52.80
2026-07-12,Libreria,ocio,18.95
2026-07-14,Compra semanal,comida,71.05
2026-07-15,Internet y movil,vivienda,45.90
2026-07-16,Dentista,salud,80.00
2026-07-18,Cena fuera,ocio,32.40
2026-07-19,Metro,transporte,10.70
2026-07-21,Compra semanal,comida,55.63
2026-07-22,Cafe con Marta,ocio,3.10
2026-07-24,Zapatillas,ropa,59.99
2026-07-26,Compra semanal,comida,66.18
2026-07-28,Agua,vivienda,28.44
2026-07-29,Analitica,salud,35.00
2026-07-30,Concierto,ocio,45.00
2026-07-31,Gasolina,transporte,48.25
